goal,region_code,value
AO,CA1,0.278802188935318
AO,CA2,0.242830594856404
AO,CA3,0.248645670108744
AO,OR,0.353245550341581
AO,WA,0.25495227246052
BD,CA1,0.315963290749917
BD,CA2,0.270125234058793
BD,CA3,0.277914257080727
BD,OR,0.400827722875897
BD,WA,0.278599658393749
CP,CA1,0.244997863806682
CP,CA2,0.221048322303009
CP,CA3,0.215240359636894
CP,OR,0.23731640661235
CP,WA,0.164821082115877
CS,CA1,0.255941209662541
CS,CA2,0.224845839392168
CS,CA3,0.224300750328362
CS,OR,0.252184826673316
CS,WA,0.175288986419406
CW,CA1,0.347723334443752
CW,CA2,0.350686357451244
CW,CA3,0.367238741299065
CW,OR,0.325819596366882
CW,WA,0.280713199852607
ECO,CA1,0.251591502412641
ECO,CA2,0.23636987027492
ECO,CA3,0.239558563146414
ECO,OR,0.241258335802183
ECO,WA,0.181341894477261
FIS,CA1,0.304191339684531
FIS,CA2,0.267366452948234
FIS,CA3,0.288285261000632
FIS,OR,0.381277643574389
FIS,WA,0.282635495155456
HAB,CA1,0.278305828822767
HAB,CA2,0.224733439396514
HAB,CA3,0.250857973415377
HAB,OR,0.369045713741586
HAB,WA,0.239042920787965
ICO,CA1,0.327105442904719
ICO,CA2,0.30775777831439
ICO,CA3,0.295141167434765
ICO,OR,0.320517046895749
ICO,WA,0.247008720895076
LE,CA1,0.251591502412641
LE,CA2,0.23636987027492
LE,CA3,0.239558563146414
LE,OR,0.241258335802183
LE,WA,0.181341894477261
LIV,CA1,0.251591502412641
LIV,CA2,0.23636987027492
LIV,CA3,0.239558563146414
LIV,OR,0.241258335802183
LIV,WA,0.181341894477261
LSP,CA1,0.317007936574669
LSP,CA2,0.298027817034823
LSP,CA3,0.295330789911415
LSP,OR,0.275190004128767
LSP,WA,0.211710402324512
MAR,CA1,0.336722828798587
MAR,CA2,0.322853137212541
MAR,CA3,0.296499713888648
MAR,OR,0.346886482459683
MAR,WA,0.267048675838817
SP,CA1,0.322056689739694
SP,CA2,0.302892797674607
SP,CA3,0.29523597867309
SP,OR,0.297853525512258
SP,WA,0.229359561609794
SPP,CA1,0.353620752677068
SPP,CA2,0.315517028721073
SPP,CA3,0.304970540746077
SPP,OR,0.432609732010208
SPP,WA,0.318156395999533
TR,CA1,0.410999514097684
TR,CA2,0.435093342696737
TR,CA3,0.445641369548511
TR,OR,0.38080886802848
TR,WA,0.366733895773087
