"region_code","value","metric"
"CA1",0.682401747986929,"status"
"CA1",0.799616093476727,"status.3nmi"
"CA1",-0.170375040326405,"trend"
"CA2",0.69727015238176,"status"
"CA2",0.791157210175885,"status.3nmi"
"CA2",-0.154347555397409,"trend"
"CA3",0.723665295474559,"status"
"CA3",0.807965555792132,"status.3nmi"
"CA3",-0.133208852515041,"trend"
"OR",0.682749894966228,"status"
"OR",0.808711281235458,"status.3nmi"
"OR",-0.114415060420363,"trend"
"WA",0.71632340447587,"status"
"WA",0.846014262961704,"status.3nmi"
"WA",-0.02500546571742,"trend"
