"activity_code","CA_2000","CA_2010","OR_2000","OR_2010","WA_2000","WA_2010"
"BeachSW",6.11,6.1474259729,1.01,1.1008686204,0.98,1.0765036552
"BirdsSW",1.25,1.2815076289,0.28,0.349586516900001,0.42,0.4801816608
"CanoeSW",0.0900000000000001,0.0547096942000003,0.01,0.0603644901,0.0800000000000001,0.1446700338
"JSkiSW",0.33,0.3382745303,0,0.1462513751,0.01,0.1642209257
"KayakSW",0.21,0.276005920745,0.01,0.17308173166,0.0700000000000001,0.240568061252
"MBoatSW",0.75,0.767762897,0.0700000000000001,0.1442026587,0.23,0.318262369
"MhuntSW",0.05,0.1872138544,0,0.1726761556,0.01,0.216776227
"OVSW",2.03,2.0508502052,0.51,0.5837624559,0.58,0.6469589029
"RowSW",0.14,0.1596587942,0.01,0.1125480141,0.02,0.1272433392
"SailSW",0.53,0.5866877994,0.01,0.1206195615,0.0899999999999999,0.2168783496
"ScubaSW",0.14,0.2771449433,0.01,0.2315614998,0.04,0.2932123129
"SFish",1.32,1.3176395846,0.16,0.198197502,0.24,0.2949781566
"SnorkSW",0.34,0.3983197805,0.02,0.1583992536,0.02,0.1742184469
"Surf",0.54,0.6106143992,0,0.174862863,0.01,0.2061887281
"SwimSW",4.07,4.1042644395,0.31,0.4175862707,0.34,0.4518158378
"WaterSW",0.73,0.7658842334,0.14,0.1982598489,0.21,0.2794928518
"WSkiSW",0.13,0.1432447199,0.01,0.0948346794000001,0.03,0.1473313658
"WSurfSW",0.04,0.1006679823,0,0.1775727938,0.01,0.2134743932
"WVSW",1.24,1.2471685064,0.33,0.3945054258,0.36,0.4198552722
