"region_code","sector_code","value","metric"
"CA1","CO",167.441092876135,"jobs"
"CA2","CO",4304.55303933254,"jobs"
"CA3","CO",7218.78059961493,"jobs"
"OR","CO",2062.3575,"jobs"
"WA","CO",4930.73145780051,"jobs"
"CA1","LI",255.808098591549,"jobs"
"CA2","LI",816.015294894366,"jobs"
"CA3","LI",2249.60651408451,"jobs"
"OR","LI",3426.75224646983,"jobs"
"WA","LI",20843.1098133278,"jobs"
"CA1","SH",0,"jobs"
"CA2","SH",462.250492546745,"jobs"
"CA3","SH",15500.9988162628,"jobs"
"OR","SH",2381.42028985507,"jobs"
"WA","SH",10627.3503849667,"jobs"
"CA1","TO",14588.4960307715,"jobs"
"CA2","TO",202027.250321334,"jobs"
"CA3","TO",212160.67666655,"jobs"
"OR","TO",24996.1390564412,"jobs"
"WA","TO",96330.0224496806,"jobs"
"CA1","TR",1702.89566840621,"jobs"
"CA2","TR",57208.2490555117,"jobs"
"CA3","TR",188616.228583886,"jobs"
"OR","TR",9477.20558831069,"jobs"
"WA","TR",27990.26660227,"jobs"
"CA1","CO",12879545.086469,"revenue"
"CA2","CO",568299910.176537,"revenue"
"CA3","CO",907820268.122945,"revenue"
"OR","CO",183518277.907057,"revenue"
"WA","CO",597597370.286176,"revenue"
"CA1","LI",25919195.9459838,"revenue"
"CA2","LI",68874397.0182274,"revenue"
"CA3","LI",137541423.663498,"revenue"
"OR","LI",165030733.310178,"revenue"
"WA","LI",1928366203.91883,"revenue"
"CA1","SH",0,"revenue"
"CA2","SH",22831428.5829551,"revenue"
"CA3","SH",1326868897.00584,"revenue"
"OR","SH",154669276.000597,"revenue"
"WA","SH",888855069.38672,"revenue"
"CA1","TO",543314459.013117,"revenue"
"CA2","TO",11204726585.1783,"revenue"
"CA3","TO",10985355725.6923,"revenue"
"OR","TO",800555075.981277,"revenue"
"WA","TO",4410528130.1772,"revenue"
"CA1","TR",64758281.133423,"revenue"
"CA2","TR",4505838995.3308,"revenue"
"CA3","TR",27101358837.0475,"revenue"
"OR","TR",2238774708.26513,"revenue"
"WA","TR",2809778212.14068,"revenue"
